ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,4065,15.97,16.0,15.925,15.97,706153,DBC
2020-01-03 00:00:00+00:00,35,43,4065,16.1,16.25,16.1,16.16,335382,DBC
2020-01-06 00:00:00+00:00,35,43,4065,16.28,16.295,16.17,16.19,536266,DBC
2020-01-07 00:00:00+00:00,35,43,4065,16.18,16.21,16.13,16.18,452656,DBC
2020-01-08 00:00:00+00:00,35,43,4065,16.2,16.2,15.8,15.94,617733,DBC
2020-01-09 00:00:00+00:00,35,43,4065,15.85,15.88,15.77,15.87,189613,DBC
2020-01-10 00:00:00+00:00,35,43,4065,15.75,15.89,15.75,15.87,225280,DBC
2020-01-13 00:00:00+00:00,35,43,4065,15.83,15.83,15.705,15.75,190332,DBC
2020-01-14 00:00:00+00:00,35,43,4065,15.82,15.83,15.78,15.82,160687,DBC
2020-01-15 00:00:00+00:00,35,43,4065,15.83,16.03,15.67,16.03,77289,DBC
2020-01-16 00:00:00+00:00,35,43,4065,15.99,15.99,15.685,15.72,298102,DBC
2020-01-17 00:00:00+00:00,35,43,4065,15.65,15.77,15.6,15.77,197703,DBC
2020-01-21 00:00:00+00:00,35,43,4065,15.77,15.77,15.67,15.68,202012,DBC
2020-01-22 00:00:00+00:00,35,43,4065,15.7,15.7,15.44,15.47,133338,DBC
2020-01-23 00:00:00+00:00,35,43,4065,15.41,15.41,15.231,15.34,155112,DBC
2020-01-24 00:00:00+00:00,35,43,4065,15.2,15.2,15.06,15.11,705820,DBC
2020-01-27 00:00:00+00:00,35,43,4065,15.0,15.0,14.77,14.83,603292,DBC
2020-01-28 00:00:00+00:00,35,43,4065,14.85,14.96,14.82,14.9,227923,DBC
2020-01-29 00:00:00+00:00,35,43,4065,14.91,14.91,14.81,14.83,139940,DBC
2020-01-30 00:00:00+00:00,35,43,4065,14.8,14.8,14.57,14.7,347342,DBC
2020-01-31 00:00:00+00:00,35,43,4065,14.57,14.65,14.501,14.6,400232,DBC
2020-02-03 00:00:00+00:00,35,43,4065,14.5,14.86,14.31,14.31,479132,DBC
2020-02-04 00:00:00+00:00,35,43,4065,14.46,14.46,14.32,14.33,277505,DBC
2020-02-05 00:00:00+00:00,35,43,4065,14.35,14.63,14.35,14.55,352109,DBC
