ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,5555,59.58,59.96,59.58,59.86,2997689,EWJ
2020-01-03 00:00:00+00:00,35,43,5555,59.24,59.64,59.03,59.2,3125152,EWJ
2020-01-06 00:00:00+00:00,35,43,5555,58.95,59.98,58.95,59.98,2087333,EWJ
2020-01-07 00:00:00+00:00,35,43,5555,59.85,59.88,59.49,59.51,1844196,EWJ
2020-01-08 00:00:00+00:00,35,43,5555,59.45,59.745,59.355,59.55,2654492,EWJ
2020-01-09 00:00:00+00:00,35,43,5555,59.89,59.965,59.76,59.88,2659252,EWJ
2020-01-10 00:00:00+00:00,35,43,5555,59.71,59.845,59.45,59.52,1812889,EWJ
2020-01-13 00:00:00+00:00,35,43,5555,59.53,59.875,59.435,59.86,1962417,EWJ
2020-01-14 00:00:00+00:00,35,43,5555,59.98,59.98,59.69,59.89,2168001,EWJ
2020-01-15 00:00:00+00:00,35,43,5555,59.76,59.76,59.57,59.66,1279852,EWJ
2020-01-16 00:00:00+00:00,35,43,5555,59.6,59.74,59.57,59.74,1019143,EWJ
2020-01-17 00:00:00+00:00,35,43,5555,59.69,59.78,59.575,59.74,1026375,EWJ
2020-01-21 00:00:00+00:00,35,43,5555,59.49,59.715,59.42,59.42,1723931,EWJ
2020-01-22 00:00:00+00:00,35,43,5555,59.81,59.86,59.6,59.6,1300500,EWJ
2020-01-23 00:00:00+00:00,35,43,5555,59.69,59.82,59.48,59.76,1457243,EWJ
2020-01-24 00:00:00+00:00,35,43,5555,59.9,60.0,59.44,59.53,1778940,EWJ
2020-01-27 00:00:00+00:00,35,43,5555,58.87,58.95,58.46,58.46,2901840,EWJ
2020-01-28 00:00:00+00:00,35,43,5555,58.46,58.985,58.46,58.73,1996690,EWJ
2020-01-29 00:00:00+00:00,35,43,5555,58.98,59.0,58.79,58.8,1405330,EWJ
2020-01-30 00:00:00+00:00,35,43,5555,58.42,58.72,58.08,58.7,4381225,EWJ
2020-01-31 00:00:00+00:00,35,43,5555,58.17,58.17,57.57,57.71,5531938,EWJ
2020-02-03 00:00:00+00:00,35,43,5555,57.71,58.45,57.71,58.2,1974450,EWJ
2020-02-04 00:00:00+00:00,35,43,5555,59.06,59.185,58.99,59.07,2567483,EWJ
2020-02-05 00:00:00+00:00,35,43,5555,59.65,59.685,59.41,59.61,2816756,EWJ
2020-02-06 00:00:00+00:00,35,43,5555,59.71,60.065,59.71,60.05,1916923,EWJ
2020-02-07 00:00:00+00:00,35,43,5555,59.8,59.8,59.47,59.47,2095193,EWJ
2020-02-10 00:00:00+00:00,35,43,5555,59.3,59.455,59.23,59.39,2009525,EWJ
2020-02-11 00:00:00+00:00,35,43,5555,59.5,59.97,59.5,59.7,2533939,EWJ
2020-02-12 00:00:00+00:00,35,43,5555,59.5,59.54,59.405,59.41,2817823,EWJ
2020-02-13 00:00:00+00:00,35,43,5555,59.0,59.15,58.87,58.9,2270332,EWJ
2020-02-14 00:00:00+00:00,35,43,5555,58.91,58.94,58.395,58.45,2341885,EWJ
2020-02-18 00:00:00+00:00,35,43,5555,57.8,57.93,57.53,57.93,3468436,EWJ
2020-02-19 00:00:00+00:00,35,43,5555,57.7,57.79,57.41,57.41,2369996,EWJ
2020-02-20 00:00:00+00:00,35,43,5555,57.0,57.22,56.7,57.1,6850652,EWJ
2020-02-21 00:00:00+00:00,35,43,5555,56.79,56.85,56.465,56.61,5032971,EWJ
2020-02-24 00:00:00+00:00,35,43,5555,56.3,56.3,54.56,54.6,5175179,EWJ
2020-02-25 00:00:00+00:00,35,43,5555,55.46,55.5,54.4,54.55,9148559,EWJ
2020-02-26 00:00:00+00:00,35,43,5555,54.0,55.445,54.0,54.9,8165490,EWJ
2020-02-27 00:00:00+00:00,35,43,5555,54.48,54.48,52.58,53.0,10698622,EWJ
2020-02-28 00:00:00+00:00,35,43,5555,52.49,53.46,51.69,53.1,14132143,EWJ
2020-03-02 00:00:00+00:00,35,43,5555,53.99,53.99,52.39,53.56,9287494,EWJ
2020-03-03 00:00:00+00:00,35,43,5555,53.74,54.07,52.52,52.94,8685071,EWJ
2020-03-04 00:00:00+00:00,35,43,5555,53.6,54.11,53.25,54.09,5726913,EWJ
2020-03-05 00:00:00+00:00,35,43,5555,53.37,53.5,52.925,53.15,4716626,EWJ
2020-03-06 00:00:00+00:00,35,43,5555,52.98,53.12,52.17,52.55,5533903,EWJ
2020-03-09 00:00:00+00:00,35,43,5555,50.9,50.9,49.41,50.02,5489674,EWJ
2020-03-10 00:00:00+00:00,35,43,5555,51.14,51.84,50.03,51.41,8153248,EWJ
2020-03-11 00:00:00+00:00,35,43,5555,51.3,51.3,49.49,49.96,3835813,EWJ
2020-03-12 00:00:00+00:00,35,43,5555,49.26,49.26,43.69,44.33,5677780,EWJ
2020-03-13 00:00:00+00:00,35,43,5555,46.15,47.6,44.19,46.36,5186889,EWJ
2020-03-16 00:00:00+00:00,35,43,5555,44.8,46.37,41.83,43.18,2982426,EWJ
2020-03-17 00:00:00+00:00,35,43,5555,43.4,45.67,43.4,45.34,5269398,EWJ
2020-03-18 00:00:00+00:00,35,43,5555,45.25,45.25,43.37,44.38,5424320,EWJ
2020-03-19 00:00:00+00:00,35,43,5555,44.49,46.34,44.36,44.69,4860165,EWJ
2020-03-20 00:00:00+00:00,35,43,5555,47.78,48.17,45.0,45.0,4970917,EWJ
2020-03-23 00:00:00+00:00,35,43,5555,45.07,46.29,44.0,44.0,3317633,EWJ
2020-03-24 00:00:00+00:00,35,43,5555,46.64,48.21,46.64,47.74,5239762,EWJ
2020-03-25 00:00:00+00:00,35,43,5555,50.3,51.45,46.93,48.64,4104133,EWJ
2020-03-26 00:00:00+00:00,35,43,5555,48.2,50.32,47.88,50.32,4257250,EWJ
2020-03-27 00:00:00+00:00,35,43,5555,50.67,51.0,49.76,50.18,3868267,EWJ
2020-03-30 00:00:00+00:00,35,43,5555,50.14,51.0,49.74,51.0,1999842,EWJ
2020-03-31 00:00:00+00:00,35,43,5555,49.89,49.93,48.5,48.6,4554731,EWJ
2020-04-01 00:00:00+00:00,35,43,5555,48.45,48.45,46.9,46.9,2214069,EWJ
2020-04-02 00:00:00+00:00,35,43,5555,47.45,47.71,46.65,47.31,2084983,EWJ
2020-04-03 00:00:00+00:00,35,43,5555,46.8,46.96,46.0,46.0,2061370,EWJ
2020-04-06 00:00:00+00:00,35,43,5555,48.49,49.385,48.14,49.28,3859491,EWJ
2020-04-07 00:00:00+00:00,35,43,5555,50.3,51.74,49.0,49.5,2904072,EWJ
2020-04-08 00:00:00+00:00,35,43,5555,49.53,50.0,49.19,50.0,2412015,EWJ
2020-04-09 00:00:00+00:00,35,43,5555,49.84,50.73,49.57,50.36,3181059,EWJ
2020-04-13 00:00:00+00:00,35,43,5555,49.0,50.25,49.0,50.2,1461388,EWJ
2020-04-14 00:00:00+00:00,35,43,5555,50.36,51.49,50.36,51.15,1837446,EWJ
2020-04-15 00:00:00+00:00,35,43,5555,50.82,50.97,50.35,50.58,1958097,EWJ
2020-04-16 00:00:00+00:00,35,43,5555,50.0,50.33,49.85,50.16,5091538,EWJ
2020-04-17 00:00:00+00:00,35,43,5555,52.91,52.91,50.345,50.75,1512110,EWJ
2020-04-20 00:00:00+00:00,35,43,5555,50.29,50.725,50.02,50.04,1725773,EWJ
2020-04-21 00:00:00+00:00,35,43,5555,50.07,50.11,49.45,49.57,3841187,EWJ
2020-04-22 00:00:00+00:00,35,43,5555,49.19,50.52,49.19,50.38,2479770,EWJ
2020-04-23 00:00:00+00:00,35,43,5555,50.6,51.31,50.5,50.57,4575803,EWJ
2020-04-24 00:00:00+00:00,35,43,5555,50.75,51.015,50.56,50.89,1771056,EWJ
2020-04-27 00:00:00+00:00,35,43,5555,51.3,51.72,51.3,51.65,1912432,EWJ
2020-04-28 00:00:00+00:00,35,43,5555,52.5,52.86,52.25,52.3,5521663,EWJ
2020-04-29 00:00:00+00:00,35,43,5555,52.95,53.7,52.95,53.7,2145560,EWJ
2020-04-30 00:00:00+00:00,35,43,5555,52.35,52.35,51.475,51.76,3224070,EWJ
2020-05-01 00:00:00+00:00,35,43,5555,51.45,51.45,50.68,50.83,2326841,EWJ
2020-05-04 00:00:00+00:00,35,43,5555,50.5,50.63,50.065,50.6,1916059,EWJ
2020-05-05 00:00:00+00:00,35,43,5555,51.05,51.405,50.885,51.07,1711478,EWJ
2020-05-06 00:00:00+00:00,35,43,5555,51.49,51.5,50.69,50.7,2454039,EWJ
2020-05-07 00:00:00+00:00,35,43,5555,51.56,51.7,51.2,51.7,2046879,EWJ
2020-05-08 00:00:00+00:00,35,43,5555,52.25,53.25,52.08,53.25,1903885,EWJ
2020-05-11 00:00:00+00:00,35,43,5555,53.01,53.01,52.6,52.87,2234491,EWJ
2020-05-12 00:00:00+00:00,35,43,5555,52.26,52.81,52.0,52.0,1804673,EWJ
2020-05-13 00:00:00+00:00,35,43,5555,53.0,53.0,52.175,52.4,2417921,EWJ
2020-05-14 00:00:00+00:00,35,43,5555,51.47,51.665,50.83,51.62,2833600,EWJ
2020-05-15 00:00:00+00:00,35,43,5555,51.64,51.86,51.4,51.71,1930627,EWJ
2020-05-18 00:00:00+00:00,35,43,5555,51.92,53.06,51.92,53.0,2073864,EWJ
2020-05-19 00:00:00+00:00,35,43,5555,52.8,52.83,52.37,52.38,1357837,EWJ
2020-05-20 00:00:00+00:00,35,43,5555,53.25,53.545,52.9,53.1,2669657,EWJ
2020-05-21 00:00:00+00:00,35,43,5555,52.79,52.975,52.465,52.57,1634208,EWJ
2020-05-22 00:00:00+00:00,35,43,5555,52.6,52.67,52.45,52.67,1187322,EWJ
2020-05-26 00:00:00+00:00,35,43,5555,54.21,54.64,54.21,54.46,2034324,EWJ
2020-05-27 00:00:00+00:00,35,43,5555,54.74,55.46,54.74,55.2,1659225,EWJ
2020-05-28 00:00:00+00:00,35,43,5555,55.74,56.475,55.74,55.89,6022807,EWJ
2020-05-29 00:00:00+00:00,35,43,5555,55.01,55.49,54.83,55.41,2126756,EWJ
2020-06-01 00:00:00+00:00,35,43,5555,55.89,56.27,55.56,56.21,2783443,EWJ
2020-06-02 00:00:00+00:00,35,43,5555,56.48,56.69,56.27,56.5,1627993,EWJ
2020-06-03 00:00:00+00:00,35,43,5555,56.38,56.99,56.38,56.89,1932439,EWJ
2020-06-04 00:00:00+00:00,35,43,5555,56.64,56.77,56.165,56.25,2269183,EWJ
2020-06-05 00:00:00+00:00,35,43,5555,57.0,57.31,56.82,56.88,2522245,EWJ
2020-06-08 00:00:00+00:00,35,43,5555,57.27,57.91,57.075,57.84,2189030,EWJ
2020-06-09 00:00:00+00:00,35,43,5555,57.62,57.715,57.15,57.6,2684453,EWJ
2020-06-10 00:00:00+00:00,35,43,5555,57.38,57.745,57.24,57.55,2203834,EWJ
