ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,8025,88.08,88.32,88.05,88.27,5475608,HYG
2020-01-03 00:00:00+00:00,35,43,8025,88.17,88.28,88.045,88.2,5713297,HYG
2020-01-06 00:00:00+00:00,35,43,8025,88.04,88.175,88.04,88.14,5153487,HYG
2020-01-07 00:00:00+00:00,35,43,8025,88.22,88.22,88.0,88.0,1924541,HYG
2020-01-08 00:00:00+00:00,35,43,8025,88.09,88.22,88.025,88.13,3253271,HYG
2020-01-09 00:00:00+00:00,35,43,8025,88.22,88.365,88.17,88.33,4627987,HYG
2020-01-10 00:00:00+00:00,35,43,8025,88.37,88.4,88.3,88.35,2868452,HYG
2020-01-13 00:00:00+00:00,35,43,8025,88.4,88.445,88.355,88.38,8430736,HYG
2020-01-14 00:00:00+00:00,35,43,8025,88.37,88.485,88.33,88.34,4455653,HYG
2020-01-15 00:00:00+00:00,35,43,8025,88.38,88.525,88.38,88.41,5596339,HYG
2020-01-16 00:00:00+00:00,35,43,8025,88.4,88.53,88.385,88.43,6837766,HYG
2020-01-17 00:00:00+00:00,35,43,8025,88.43,88.505,88.36,88.36,6633513,HYG
2020-01-21 00:00:00+00:00,35,43,8025,88.28,88.405,88.17,88.17,3583108,HYG
2020-01-22 00:00:00+00:00,35,43,8025,88.26,88.365,88.235,88.26,3893315,HYG
2020-01-23 00:00:00+00:00,35,43,8025,88.33,88.33,88.025,88.07,8213877,HYG
2020-01-24 00:00:00+00:00,35,43,8025,88.07,88.07,87.65,87.7,9214230,HYG
2020-01-27 00:00:00+00:00,35,43,8025,87.41,87.42,86.97,87.11,9939415,HYG
2020-01-28 00:00:00+00:00,35,43,8025,87.53,87.955,87.395,87.85,9642407,HYG
2020-01-29 00:00:00+00:00,35,43,8025,87.97,87.99,87.77,87.77,3920449,HYG
2020-01-30 00:00:00+00:00,35,43,8025,87.52,87.95,87.49,87.95,4261186,HYG
2020-01-31 00:00:00+00:00,35,43,8025,87.84,87.86,87.395,87.52,7384093,HYG
2020-02-03 00:00:00+00:00,35,43,8025,87.42,87.46,87.12,87.12,10043184,HYG
2020-02-04 00:00:00+00:00,35,43,8025,87.17,87.7,87.17,87.7,10111207,HYG
2020-02-05 00:00:00+00:00,35,43,8025,87.88,88.06,87.84,87.97,9731058,HYG
2020-02-06 00:00:00+00:00,35,43,8025,88.02,88.15,87.875,88.1,4221751,HYG
2020-02-07 00:00:00+00:00,35,43,8025,88.1,88.1,87.885,87.97,3950629,HYG
2020-02-10 00:00:00+00:00,35,43,8025,88.09,88.18,87.88,88.08,4824897,HYG
2020-02-11 00:00:00+00:00,35,43,8025,88.15,88.29,88.15,88.21,4942561,HYG
2020-02-12 00:00:00+00:00,35,43,8025,88.15,88.46,88.15,88.4,8774597,HYG
2020-02-13 00:00:00+00:00,35,43,8025,88.25,88.455,88.21,88.41,3389129,HYG
2020-02-14 00:00:00+00:00,35,43,8025,88.43,88.49,88.35,88.41,2853601,HYG
2020-02-18 00:00:00+00:00,35,43,8025,88.38,88.4,88.145,88.26,6519637,HYG
2020-02-19 00:00:00+00:00,35,43,8025,88.41,88.5,88.25,88.25,4246645,HYG
2020-02-20 00:00:00+00:00,35,43,8025,88.26,88.435,88.065,88.33,7675225,HYG
2020-02-21 00:00:00+00:00,35,43,8025,88.4,88.41,88.16,88.31,7333291,HYG
2020-02-24 00:00:00+00:00,35,43,8025,88.33,88.33,87.205,87.42,19767696,HYG
2020-02-25 00:00:00+00:00,35,43,8025,87.62,87.81,86.69,86.88,22817113,HYG
2020-02-26 00:00:00+00:00,35,43,8025,86.77,87.25,86.595,86.84,15806552,HYG
2020-02-27 00:00:00+00:00,35,43,8025,86.56,86.69,85.06,85.36,16833291,HYG
2020-02-28 00:00:00+00:00,35,43,8025,85.0,86.86,84.62,86.05,21119950,HYG
2020-03-02 00:00:00+00:00,35,43,8025,85.52,86.4,85.23,86.34,24430076,HYG
2020-03-03 00:00:00+00:00,35,43,8025,86.29,87.19,85.74,85.79,14491743,HYG
2020-03-04 00:00:00+00:00,35,43,8025,86.3,87.16,86.3,86.98,15787521,HYG
2020-03-05 00:00:00+00:00,35,43,8025,86.7,86.7,85.86,85.95,15464262,HYG
2020-03-06 00:00:00+00:00,35,43,8025,85.7,86.15,83.94,84.75,16724950,HYG
2020-03-09 00:00:00+00:00,35,43,8025,83.0,83.47,79.64,81.94,17549740,HYG
2020-03-10 00:00:00+00:00,35,43,8025,81.72,82.99,81.14,82.12,15623422,HYG
2020-03-11 00:00:00+00:00,35,43,8025,81.9,81.9,80.2,81.04,12857516,HYG
2020-03-12 00:00:00+00:00,35,43,8025,80.2,80.27,76.23,77.51,21388400,HYG
2020-03-13 00:00:00+00:00,35,43,8025,77.91,80.29,77.91,79.91,17047430,HYG
2020-03-16 00:00:00+00:00,35,43,8025,77.39,77.64,74.3,76.32,10703173,HYG
2020-03-17 00:00:00+00:00,35,43,8025,76.03,77.56,74.63,75.42,15945889,HYG
2020-03-18 00:00:00+00:00,35,43,8025,75.27,75.27,71.92,73.88,11020919,HYG
2020-03-19 00:00:00+00:00,35,43,8025,73.96,73.96,70.81,71.3,10405722,HYG
2020-03-20 00:00:00+00:00,35,43,8025,71.5,72.36,69.24,69.24,14917529,HYG
2020-03-23 00:00:00+00:00,35,43,8025,68.7,72.68,67.52,68.7,10201205,HYG
2020-03-24 00:00:00+00:00,35,43,8025,69.9,71.99,69.9,71.99,12577387,HYG
2020-03-25 00:00:00+00:00,35,43,8025,72.0,75.53,71.0,73.3,15421698,HYG
2020-03-26 00:00:00+00:00,35,43,8025,73.0,76.83,73.0,76.75,10767142,HYG
2020-03-27 00:00:00+00:00,35,43,8025,76.0,78.369,74.68,76.78,10214872,HYG
2020-03-30 00:00:00+00:00,35,43,8025,76.67,78.035,76.5,77.64,9570039,HYG
2020-03-31 00:00:00+00:00,35,43,8025,79.0,79.0,76.72,76.72,8210536,HYG
2020-04-01 00:00:00+00:00,35,43,8025,76.03,76.03,74.37,74.84,10573751,HYG
2020-04-02 00:00:00+00:00,35,43,8025,75.49,76.295,74.23,75.12,7619321,HYG
2020-04-03 00:00:00+00:00,35,43,8025,75.15,75.35,73.33,73.63,12574484,HYG
