ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,14787,16.71,16.9,16.71,16.83,2186988,SLV
2020-01-03 00:00:00+00:00,35,43,14787,16.95,17.01,16.805,16.89,2523719,SLV
2020-01-06 00:00:00+00:00,35,43,14787,17.11,17.22,16.83,16.92,2994286,SLV
2020-01-07 00:00:00+00:00,35,43,14787,16.94,17.36,16.88,17.35,2573725,SLV
2020-01-08 00:00:00+00:00,35,43,14787,17.17,17.23,16.865,16.94,7273771,SLV
2020-01-09 00:00:00+00:00,35,43,14787,16.74,16.82,16.625,16.71,2704255,SLV
2020-01-10 00:00:00+00:00,35,43,14787,16.73,16.95,16.72,16.9,1712515,SLV
2020-01-13 00:00:00+00:00,35,43,14787,16.79,16.85,16.74,16.75,1702741,SLV
2020-01-14 00:00:00+00:00,35,43,14787,16.58,16.67,16.545,16.63,1630186,SLV
2020-01-15 00:00:00+00:00,35,43,14787,16.69,16.845,16.58,16.81,1838570,SLV
2020-01-16 00:00:00+00:00,35,43,14787,16.75,16.83,16.72,16.76,1348127,SLV
2020-01-17 00:00:00+00:00,35,43,14787,16.86,16.97,16.75,16.87,1726146,SLV
2020-01-21 00:00:00+00:00,35,43,14787,16.83,16.83,16.47,16.64,1989687,SLV
2020-01-22 00:00:00+00:00,35,43,14787,16.62,16.74,16.59,16.69,1341954,SLV
2020-01-23 00:00:00+00:00,35,43,14787,16.55,16.68,16.45,16.6,1932375,SLV
2020-01-24 00:00:00+00:00,35,43,14787,16.66,16.945,16.62,16.9,2361319,SLV
2020-01-27 00:00:00+00:00,35,43,14787,16.99,17.1,16.85,16.87,2043002,SLV
2020-01-28 00:00:00+00:00,35,43,14787,16.88,16.88,16.285,16.32,4250791,SLV
2020-01-29 00:00:00+00:00,35,43,14787,16.36,16.43,16.27,16.4,1510433,SLV
2020-01-30 00:00:00+00:00,35,43,14787,16.55,16.84,16.55,16.66,3099531,SLV
2020-01-31 00:00:00+00:00,35,43,14787,16.72,16.895,16.6,16.89,2266347,SLV
2020-02-03 00:00:00+00:00,35,43,14787,16.6,16.64,16.435,16.53,2344272,SLV
2020-02-04 00:00:00+00:00,35,43,14787,16.51,16.56,16.37,16.42,1813398,SLV
2020-02-05 00:00:00+00:00,35,43,14787,16.37,16.49,16.33,16.45,1256729,SLV
2020-02-06 00:00:00+00:00,35,43,14787,16.52,16.69,16.52,16.64,1603787,SLV
2020-02-07 00:00:00+00:00,35,43,14787,16.6,16.63,16.475,16.58,1679371,SLV
2020-02-10 00:00:00+00:00,35,43,14787,16.59,16.65,16.55,16.58,1859989,SLV
2020-02-11 00:00:00+00:00,35,43,14787,16.57,16.57,16.409,16.48,1973555,SLV
2020-02-12 00:00:00+00:00,35,43,14787,16.34,16.42,16.31,16.34,1651557,SLV
2020-02-13 00:00:00+00:00,35,43,14787,16.46,16.55,16.45,16.49,1139751,SLV
2020-02-14 00:00:00+00:00,35,43,14787,16.52,16.62,16.51,16.57,1264516,SLV
2020-02-18 00:00:00+00:00,35,43,14787,16.68,17.015,16.68,16.96,2851860,SLV
2020-02-19 00:00:00+00:00,35,43,14787,17.12,17.24,16.97,17.18,2283309,SLV
2020-02-20 00:00:00+00:00,35,43,14787,17.05,17.21,17.01,17.19,2525457,SLV
2020-02-21 00:00:00+00:00,35,43,14787,17.25,17.4,17.21,17.35,3071100,SLV
2020-02-24 00:00:00+00:00,35,43,14787,17.48,17.68,17.31,17.37,5430354,SLV
2020-02-25 00:00:00+00:00,35,43,14787,17.21,17.22,16.665,16.86,6522573,SLV
2020-02-26 00:00:00+00:00,35,43,14787,16.93,16.99,16.61,16.74,4170622,SLV
2020-02-27 00:00:00+00:00,35,43,14787,16.8,16.89,16.44,16.6,6523755,SLV
2020-02-28 00:00:00+00:00,35,43,14787,16.13,16.13,15.29,15.6,11658888,SLV
2020-03-02 00:00:00+00:00,35,43,14787,15.86,15.88,15.54,15.69,5463619,SLV
2020-03-03 00:00:00+00:00,35,43,14787,15.63,16.3,15.63,16.12,9184807,SLV
2020-03-04 00:00:00+00:00,35,43,14787,16.04,16.12,15.95,16.06,2357389,SLV
2020-03-05 00:00:00+00:00,35,43,14787,16.08,16.32,16.05,16.32,2649533,SLV
2020-03-06 00:00:00+00:00,35,43,14787,16.23,16.39,15.895,16.35,4947801,SLV
2020-03-09 00:00:00+00:00,35,43,14787,15.81,15.945,15.62,15.78,6087820,SLV
2020-03-10 00:00:00+00:00,35,43,14787,15.97,16.04,15.69,15.86,3846637,SLV
2020-03-11 00:00:00+00:00,35,43,14787,15.87,15.95,15.555,15.68,3964442,SLV
2020-03-12 00:00:00+00:00,35,43,14787,15.6,15.63,14.485,14.65,10534230,SLV
2020-03-13 00:00:00+00:00,35,43,14787,14.71,14.79,13.47,14.09,10845776,SLV
2020-03-16 00:00:00+00:00,35,43,14787,13.14,13.17,11.01,12.14,8816136,SLV
2020-03-17 00:00:00+00:00,35,43,14787,11.96,12.38,11.33,11.93,9925964,SLV
2020-03-18 00:00:00+00:00,35,43,14787,11.63,11.77,10.87,11.45,13536370,SLV
2020-03-19 00:00:00+00:00,35,43,14787,11.16,11.435,11.01,11.31,11242340,SLV
2020-03-20 00:00:00+00:00,35,43,14787,12.03,12.1,11.53,11.9,6872273,SLV
2020-03-23 00:00:00+00:00,35,43,14787,11.71,12.88,11.66,12.88,6669574,SLV
2020-03-24 00:00:00+00:00,35,43,14787,12.84,13.65,12.74,13.6,7052047,SLV
2020-03-25 00:00:00+00:00,35,43,14787,13.6,13.64,13.13,13.41,6303945,SLV
2020-03-26 00:00:00+00:00,35,43,14787,13.44,13.71,13.31,13.44,3927022,SLV
2020-03-27 00:00:00+00:00,35,43,14787,13.49,13.57,13.22,13.54,2620469,SLV
2020-03-30 00:00:00+00:00,35,43,14787,13.08,13.26,12.89,13.09,2962480,SLV
2020-03-31 00:00:00+00:00,35,43,14787,13.11,13.31,12.93,13.0,2576953,SLV
2020-04-01 00:00:00+00:00,35,43,14787,13.0,13.14,12.87,13.07,2444130,SLV
2020-04-02 00:00:00+00:00,35,43,14787,13.21,13.59,13.2,13.52,3223608,SLV
2020-04-03 00:00:00+00:00,35,43,14787,13.52,13.55,13.34,13.47,1984809,SLV
2020-04-06 00:00:00+00:00,35,43,14787,13.63,14.5,13.47,14.27,3933979,SLV
2020-04-07 00:00:00+00:00,35,43,14787,14.19,14.3,13.87,13.96,3442762,SLV
2020-04-08 00:00:00+00:00,35,43,14787,14.02,14.13,13.871,13.99,4114736,SLV
2020-04-09 00:00:00+00:00,35,43,14787,14.13,14.51,14.09,14.51,4167043,SLV
2020-04-13 00:00:00+00:00,35,43,14787,14.22,14.48,14.14,14.4,2449993,SLV
2020-04-14 00:00:00+00:00,35,43,14787,14.5,14.79,14.38,14.65,3797713,SLV
2020-04-15 00:00:00+00:00,35,43,14787,14.5,14.56,14.255,14.4,2886396,SLV
2020-04-16 00:00:00+00:00,35,43,14787,14.55,14.57,14.18,14.44,2808998,SLV
