ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,16548,16.82,16.89,16.36,16.44,1149220,UNG
2020-01-03 00:00:00+00:00,35,43,16548,16.37,16.7,16.12,16.36,763398,UNG
2020-01-06 00:00:00+00:00,35,43,16548,16.57,16.78,16.34,16.66,1013355,UNG
2020-01-07 00:00:00+00:00,35,43,16548,16.44,16.81,16.28,16.52,801562,UNG
2020-01-08 00:00:00+00:00,35,43,16548,16.7,16.87,16.35,16.64,594062,UNG
2020-01-09 00:00:00+00:00,35,43,16548,16.43,16.76,16.29,16.74,657760,UNG
2020-01-10 00:00:00+00:00,35,43,16548,16.59,17.255,16.59,17.05,1020083,UNG
2020-01-13 00:00:00+00:00,35,43,16548,17.12,17.17,16.73,16.88,979013,UNG
2020-01-14 00:00:00+00:00,35,43,16548,16.97,17.42,16.81,16.9,812277,UNG
2020-01-15 00:00:00+00:00,35,43,16548,16.76,16.89,16.28,16.48,1035322,UNG
2020-01-16 00:00:00+00:00,35,43,16548,16.5,16.745,15.96,15.98,1064478,UNG
2020-01-17 00:00:00+00:00,35,43,16548,15.97,15.97,15.48,15.48,1884624,UNG
2020-01-21 00:00:00+00:00,35,43,16548,14.9,15.18,14.57,14.93,2066749,UNG
2020-01-22 00:00:00+00:00,35,43,16548,14.87,15.055,14.8,14.9,743145,UNG
2020-01-23 00:00:00+00:00,35,43,16548,15.05,15.27,14.84,14.95,787810,UNG
2020-01-24 00:00:00+00:00,35,43,16548,14.68,14.71,14.5,14.63,1122406,UNG
2020-01-27 00:00:00+00:00,35,43,16548,15.05,15.19,14.58,14.69,1046566,UNG
2020-01-28 00:00:00+00:00,35,43,16548,14.7,15.05,14.6,14.97,667266,UNG
2020-01-29 00:00:00+00:00,35,43,16548,14.79,14.82,14.53,14.69,623810,UNG
2020-01-30 00:00:00+00:00,35,43,16548,14.49,14.58,14.19,14.27,994025,UNG
2020-01-31 00:00:00+00:00,35,43,16548,14.34,14.5,14.3,14.39,736099,UNG
2020-02-03 00:00:00+00:00,35,43,16548,14.5,14.67,14.19,14.29,480974,UNG
2020-02-04 00:00:00+00:00,35,43,16548,14.33,14.745,14.24,14.65,834777,UNG
2020-02-05 00:00:00+00:00,35,43,16548,14.57,14.64,14.28,14.64,992926,UNG
2020-02-06 00:00:00+00:00,35,43,16548,14.59,14.89,14.34,14.58,555015,UNG
2020-02-07 00:00:00+00:00,35,43,16548,14.47,14.83,14.44,14.49,523210,UNG
2020-02-10 00:00:00+00:00,35,43,16548,14.09,14.09,13.755,13.85,1459177,UNG
2020-02-11 00:00:00+00:00,35,43,16548,13.89,14.06,13.74,14.03,636241,UNG
2020-02-12 00:00:00+00:00,35,43,16548,14.15,14.5,14.15,14.46,724377,UNG
2020-02-13 00:00:00+00:00,35,43,16548,14.39,14.58,14.24,14.24,499403,UNG
2020-02-14 00:00:00+00:00,35,43,16548,14.21,14.44,14.07,14.35,329549,UNG
2020-02-18 00:00:00+00:00,35,43,16548,15.0,15.27,14.97,15.15,1294255,UNG
2020-02-19 00:00:00+00:00,35,43,16548,15.13,15.36,15.07,15.26,452114,UNG
2020-02-20 00:00:00+00:00,35,43,16548,15.2,15.66,14.74,14.75,1178819,UNG
2020-02-21 00:00:00+00:00,35,43,16548,14.69,14.93,14.53,14.81,623456,UNG
2020-02-24 00:00:00+00:00,35,43,16548,14.6,14.6,14.25,14.36,862921,UNG
2020-02-25 00:00:00+00:00,35,43,16548,14.25,14.52,14.24,14.32,718916,UNG
2020-02-26 00:00:00+00:00,35,43,16548,14.39,14.59,14.06,14.06,593237,UNG
2020-02-27 00:00:00+00:00,35,43,16548,13.92,13.92,13.32,13.52,1888766,UNG
2020-02-28 00:00:00+00:00,35,43,16548,13.25,13.37,12.75,13.17,694588,UNG
2020-03-02 00:00:00+00:00,35,43,16548,13.56,13.72,13.2,13.72,771880,UNG
2020-03-03 00:00:00+00:00,35,43,16548,13.8,14.24,13.71,13.98,763995,UNG
2020-03-04 00:00:00+00:00,35,43,16548,13.89,14.28,13.85,14.17,528668,UNG
2020-03-05 00:00:00+00:00,35,43,16548,14.24,14.24,13.61,13.64,483830,UNG
2020-03-06 00:00:00+00:00,35,43,16548,13.68,13.72,13.22,13.3,659643,UNG
2020-03-09 00:00:00+00:00,35,43,16548,12.93,14.32,12.49,14.05,1709380,UNG
2020-03-10 00:00:00+00:00,35,43,16548,14.3,15.14,14.23,15.07,2435238,UNG
2020-03-11 00:00:00+00:00,35,43,16548,14.88,15.475,14.43,14.45,1105552,UNG
2020-03-12 00:00:00+00:00,35,43,16548,14.06,14.56,13.75,13.99,1511961,UNG
2020-03-13 00:00:00+00:00,35,43,16548,14.75,15.07,14.36,14.61,1006822,UNG
2020-03-16 00:00:00+00:00,35,43,16548,14.34,14.34,13.83,13.95,524076,UNG
2020-03-17 00:00:00+00:00,35,43,16548,13.8,14.06,13.3,13.34,505552,UNG
2020-03-18 00:00:00+00:00,35,43,16548,13.1,13.1,12.09,12.85,1058263,UNG
2020-03-19 00:00:00+00:00,35,43,16548,13.0,13.12,12.53,12.91,351160,UNG
2020-03-20 00:00:00+00:00,35,43,16548,13.25,13.39,12.49,12.49,498193,UNG
2020-03-23 00:00:00+00:00,35,43,16548,12.4,12.89,12.23,12.71,452531,UNG
2020-03-24 00:00:00+00:00,35,43,16548,12.81,13.265,12.81,13.23,666112,UNG
2020-03-25 00:00:00+00:00,35,43,16548,13.25,13.26,12.87,13.05,302665,UNG
2020-03-26 00:00:00+00:00,35,43,16548,13.08,13.15,12.69,12.82,435472,UNG
2020-03-27 00:00:00+00:00,35,43,16548,12.77,12.82,12.5,12.75,347429,UNG
2020-03-30 00:00:00+00:00,35,43,16548,12.5,12.92,12.3,12.88,278662,UNG
2020-03-31 00:00:00+00:00,35,43,16548,13.0,13.08,12.41,12.48,408282,UNG
2020-04-01 00:00:00+00:00,35,43,16548,12.4,12.7,11.97,12.07,488270,UNG
2020-04-02 00:00:00+00:00,35,43,16548,12.25,12.25,11.54,11.79,732496,UNG
2020-04-03 00:00:00+00:00,35,43,16548,11.86,12.54,11.61,12.46,749659,UNG
2020-04-06 00:00:00+00:00,35,43,16548,12.42,13.44,12.4,13.44,612676,UNG
