ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,16701,26.01,26.08,25.995,26.08,63291,UUP
2020-01-03 00:00:00+00:00,35,43,16701,26.12,26.14,26.051,26.14,95071,UUP
2020-01-06 00:00:00+00:00,35,43,16701,26.02,26.04,26.02,26.03,38612,UUP
2020-01-07 00:00:00+00:00,35,43,16701,26.1,26.145,26.1,26.12,32570,UUP
2020-01-08 00:00:00+00:00,35,43,16701,26.15,26.205,26.145,26.19,45406,UUP
2020-01-09 00:00:00+00:00,35,43,16701,26.24,26.27,26.24,26.24,24317,UUP
2020-01-10 00:00:00+00:00,35,43,16701,26.28,26.28,26.22,26.22,32642,UUP
2020-01-13 00:00:00+00:00,35,43,16701,26.25,26.251,26.215,26.22,16913,UUP
2020-01-14 00:00:00+00:00,35,43,16701,26.22,26.27,26.22,26.23,74391,UUP
2020-01-15 00:00:00+00:00,35,43,16701,26.2,26.21,26.18,26.19,53248,UUP
2020-01-16 00:00:00+00:00,35,43,16701,26.19,26.239,26.19,26.23,14055,UUP
2020-01-17 00:00:00+00:00,35,43,16701,26.28,26.32,26.28,26.32,27484,UUP
2020-01-21 00:00:00+00:00,35,43,16701,26.26,26.31,26.26,26.3,63843,UUP
2020-01-22 00:00:00+00:00,35,43,16701,26.27,26.32,26.27,26.28,24693,UUP
2020-01-23 00:00:00+00:00,35,43,16701,26.33,26.36,26.32,26.35,17219,UUP
2020-01-24 00:00:00+00:00,35,43,16701,26.38,26.41,26.38,26.39,42082,UUP
2020-01-27 00:00:00+00:00,35,43,16701,26.41,26.43,26.4,26.43,47348,UUP
2020-01-28 00:00:00+00:00,35,43,16701,26.46,26.475,26.43,26.43,40977,UUP
2020-01-29 00:00:00+00:00,35,43,16701,26.45,26.485,26.2,26.2,25001,UUP
2020-01-30 00:00:00+00:00,35,43,16701,26.43,26.435,26.39,26.39,28368,UUP
2020-01-31 00:00:00+00:00,35,43,16701,26.35,26.36,26.275,26.28,60541,UUP
2020-02-03 00:00:00+00:00,35,43,16701,26.37,26.42,26.37,26.41,113285,UUP
2020-02-04 00:00:00+00:00,35,43,16701,26.43,26.45,26.43,26.45,66766,UUP
2020-02-05 00:00:00+00:00,35,43,16701,26.45,26.55,26.45,26.55,166295,UUP
2020-02-06 00:00:00+00:00,35,43,16701,26.57,26.61,26.55,26.6,39890,UUP
2020-02-07 00:00:00+00:00,35,43,16701,26.59,26.66,26.589,26.66,13927,UUP
2020-02-10 00:00:00+00:00,35,43,16701,26.67,26.7,26.655,26.7,43612,UUP
2020-02-11 00:00:00+00:00,35,43,16701,26.72,26.72,26.655,26.67,92335,UUP
2020-02-12 00:00:00+00:00,35,43,16701,26.66,26.75,26.66,26.74,26015,UUP
2020-02-13 00:00:00+00:00,35,43,16701,26.74,26.77,26.725,26.77,72240,UUP
2020-02-14 00:00:00+00:00,35,43,16701,26.77,26.8,26.74,26.8,27007,UUP
2020-02-18 00:00:00+00:00,35,43,16701,26.8,26.865,26.8,26.86,28827,UUP
2020-02-19 00:00:00+00:00,35,43,16701,26.91,26.93,26.9,26.91,50383,UUP
2020-02-20 00:00:00+00:00,35,43,16701,26.94,27.09,26.935,27.09,61580,UUP
2020-02-21 00:00:00+00:00,35,43,16701,26.98,26.98,26.82,26.85,370953,UUP
2020-02-24 00:00:00+00:00,35,43,16701,26.88,26.88,26.79,26.84,65639,UUP
2020-02-25 00:00:00+00:00,35,43,16701,26.81,26.84,26.731,26.76,75632,UUP
2020-02-26 00:00:00+00:00,35,43,16701,26.79,26.83,26.76,26.8,239594,UUP
2020-02-27 00:00:00+00:00,35,43,16701,26.68,26.76,26.591,26.76,193954,UUP
2020-02-28 00:00:00+00:00,35,43,16701,26.54,26.69,26.5,26.5,206718,UUP
2020-03-02 00:00:00+00:00,35,43,16701,26.39,26.41,26.29,26.39,164276,UUP
2020-03-03 00:00:00+00:00,35,43,16701,26.4,26.4,26.23,26.28,148495,UUP
2020-03-04 00:00:00+00:00,35,43,16701,26.32,26.41,26.32,26.37,152017,UUP
2020-03-05 00:00:00+00:00,35,43,16701,26.29,26.29,26.16,26.17,101425,UUP
2020-03-06 00:00:00+00:00,35,43,16701,26.0,26.1,25.93,26.1,233229,UUP
2020-03-09 00:00:00+00:00,35,43,16701,25.9,25.9,24.64,25.74,571709,UUP
2020-03-10 00:00:00+00:00,35,43,16701,25.92,26.33,25.91,26.33,164371,UUP
2020-03-11 00:00:00+00:00,35,43,16701,26.09,26.16,26.01,26.16,68780,UUP
2020-03-12 00:00:00+00:00,35,43,16701,26.16,26.64,26.16,26.45,217331,UUP
2020-03-13 00:00:00+00:00,35,43,16701,26.57,27.95,26.55,27.04,302039,UUP
2020-03-16 00:00:00+00:00,35,43,16701,27.15,27.9,26.33,26.55,344855,UUP
2020-03-17 00:00:00+00:00,35,43,16701,26.93,27.08,26.9,27.0,191118,UUP
2020-03-18 00:00:00+00:00,35,43,16701,27.11,28.01,27.11,27.9,557524,UUP
2020-03-19 00:00:00+00:00,35,43,16701,27.9,28.89,27.75,28.25,623780,UUP
2020-03-20 00:00:00+00:00,35,43,16701,28.3,28.3,27.55,28.3,862000,UUP
2020-03-23 00:00:00+00:00,35,43,16701,28.5,28.5,26.8,28.02,273663,UUP
2020-03-24 00:00:00+00:00,35,43,16701,27.8,27.89,27.5,27.8,870205,UUP
2020-03-25 00:00:00+00:00,35,43,16701,27.58,27.63,27.3,27.5,518112,UUP
2020-03-26 00:00:00+00:00,35,43,16701,27.2,27.5,26.51,26.98,1159627,UUP
2020-03-27 00:00:00+00:00,35,43,16701,27.06,27.105,26.52,26.52,466602,UUP
2020-03-30 00:00:00+00:00,35,43,16701,26.75,26.94,26.75,26.89,297602,UUP
2020-03-31 00:00:00+00:00,35,43,16701,27.07,27.09,26.79,26.84,267151,UUP
2020-04-01 00:00:00+00:00,35,43,16701,27.01,27.05,26.955,26.98,312963,UUP
2020-04-02 00:00:00+00:00,35,43,16701,27.12,27.2,27.045,27.16,531969,UUP
2020-04-03 00:00:00+00:00,35,43,16701,27.28,27.34,27.19,27.19,701965,UUP
2020-04-06 00:00:00+00:00,35,43,16701,27.27,27.355,27.26,27.3,158467,UUP
2020-04-07 00:00:00+00:00,35,43,16701,27.06,27.15,27.001,27.07,231005,UUP
2020-04-08 00:00:00+00:00,35,43,16701,27.07,27.16,27.07,27.16,377847,UUP
2020-04-09 00:00:00+00:00,35,43,16701,27.09,27.09,26.9,26.98,300011,UUP
2020-04-13 00:00:00+00:00,35,43,16701,26.91,26.97,26.881,26.92,176728,UUP
2020-04-14 00:00:00+00:00,35,43,16701,26.8,26.83,26.72,26.72,305721,UUP
2020-04-15 00:00:00+00:00,35,43,16701,26.76,27.09,26.76,27.0,224141,UUP
2020-04-16 00:00:00+00:00,35,43,16701,26.72,27.17,26.72,27.03,421041,UUP
2020-04-17 00:00:00+00:00,35,43,16701,27.11,27.11,26.98,26.98,179591,UUP
2020-04-20 00:00:00+00:00,35,43,16701,27.03,27.1,27.01,27.08,176302,UUP
2020-04-21 00:00:00+00:00,35,43,16701,27.15,27.211,27.11,27.17,247511,UUP
2020-04-22 00:00:00+00:00,35,43,16701,27.14,27.23,27.1,27.22,131537,UUP
2020-04-23 00:00:00+00:00,35,43,16701,27.25,27.25,27.101,27.23,196406,UUP
2020-04-24 00:00:00+00:00,35,43,16701,27.23,27.24,27.16,27.17,119466,UUP
2020-04-27 00:00:00+00:00,35,43,16701,27.08,27.3,27.055,27.3,347037,UUP
2020-04-28 00:00:00+00:00,35,43,16701,27.05,27.1,26.95,27.07,193716,UUP
2020-04-29 00:00:00+00:00,35,43,16701,27.0,27.03,26.94,26.94,71619,UUP
2020-04-30 00:00:00+00:00,35,43,16701,27.08,27.08,26.64,26.64,259182,UUP
2020-05-01 00:00:00+00:00,35,43,16701,26.79,26.83,26.74,26.81,155262,UUP
2020-05-04 00:00:00+00:00,35,43,16701,26.91,27.0,26.9,27.0,108631,UUP
2020-05-05 00:00:00+00:00,35,43,16701,27.03,27.04,26.9,27.02,1350680,UUP
2020-05-06 00:00:00+00:00,35,43,16701,27.06,27.18,27.05,27.18,106516,UUP
2020-05-07 00:00:00+00:00,35,43,16701,27.1,27.18,27.02,27.04,87659,UUP
2020-05-08 00:00:00+00:00,35,43,16701,27.0,27.05,26.92,27.03,492001,UUP
2020-05-11 00:00:00+00:00,35,43,16701,27.08,27.155,27.055,27.1,174131,UUP
2020-05-12 00:00:00+00:00,35,43,16701,27.12,27.12,26.999,27.06,101021,UUP
2020-05-13 00:00:00+00:00,35,43,16701,27.05,27.14,26.97,27.13,101838,UUP
2020-05-14 00:00:00+00:00,35,43,16701,27.21,27.21,27.14,27.16,142932,UUP
2020-05-15 00:00:00+00:00,35,43,16701,27.13,27.191,27.09,27.18,59447,UUP
2020-05-18 00:00:00+00:00,35,43,16701,27.15,27.15,26.95,26.96,228599,UUP
2020-05-19 00:00:00+00:00,35,43,16701,26.97,26.97,26.87,26.94,130959,UUP
2020-05-20 00:00:00+00:00,35,43,16701,26.88,26.88,26.795,26.85,176026,UUP
2020-05-21 00:00:00+00:00,35,43,16701,26.87,26.93,26.82,26.91,141621,UUP
2020-05-22 00:00:00+00:00,35,43,16701,26.98,27.025,26.97,26.97,162522,UUP
2020-05-26 00:00:00+00:00,35,43,16701,27.0,27.0,26.755,26.8,173494,UUP
2020-05-27 00:00:00+00:00,35,43,16701,26.75,26.86,26.75,26.78,121060,UUP
2020-05-28 00:00:00+00:00,35,43,16701,26.77,26.77,26.619,26.66,246214,UUP
2020-05-29 00:00:00+00:00,35,43,16701,26.62,26.65,26.52,26.6,289209,UUP
2020-06-01 00:00:00+00:00,35,43,16701,26.57,26.57,26.45,26.47,258708,UUP
2020-06-02 00:00:00+00:00,35,43,16701,26.43,26.44,26.369,26.43,77895,UUP
2020-06-03 00:00:00+00:00,35,43,16701,26.38,26.38,26.18,26.18,753213,UUP
2020-06-04 00:00:00+00:00,35,43,16701,26.33,26.4,26.11,26.24,515638,UUP
2020-06-05 00:00:00+00:00,35,43,16701,26.15,26.23,26.12,26.21,499817,UUP
2020-06-08 00:00:00+00:00,35,43,16701,26.26,26.26,26.13,26.21,203185,UUP
2020-06-09 00:00:00+00:00,35,43,16701,26.22,26.22,26.025,26.06,112457,UUP
2020-06-10 00:00:00+00:00,35,43,16701,26.03,26.07,25.89,25.95,441856,UUP
2020-06-11 00:00:00+00:00,35,43,16701,26.06,26.2,25.97,26.11,188109,UUP
2020-06-12 00:00:00+00:00,35,43,16701,26.17,26.36,26.139,26.28,532060,UUP
2020-06-15 00:00:00+00:00,35,43,16701,26.28,26.28,26.115,26.12,72824,UUP
2020-06-16 00:00:00+00:00,35,43,16701,26.14,26.291,26.0,26.22,303379,UUP
2020-06-17 00:00:00+00:00,35,43,16701,26.26,26.32,26.24,26.24,87256,UUP
2020-06-18 00:00:00+00:00,35,43,16701,26.29,26.375,26.28,26.35,92064,UUP
2020-06-19 00:00:00+00:00,35,43,16701,26.35,26.41,26.25,26.39,230206,UUP
2020-06-22 00:00:00+00:00,35,43,16701,26.32,26.33,26.22,26.25,152776,UUP
2020-06-23 00:00:00+00:00,35,43,16701,26.13,26.15,26.055,26.14,171260,UUP
2020-06-24 00:00:00+00:00,35,43,16701,26.21,26.33,26.21,26.33,101347,UUP
2020-06-25 00:00:00+00:00,35,43,16701,26.34,26.36,26.31,26.31,78626,UUP
2020-06-26 00:00:00+00:00,35,43,16701,26.33,26.405,26.319,26.35,92038,UUP
2020-06-29 00:00:00+00:00,35,43,16701,26.31,26.39,26.23,26.36,34935,UUP
2020-06-30 00:00:00+00:00,35,43,16701,26.41,26.41,26.29,26.32,82522,UUP
2020-07-01 00:00:00+00:00,35,43,16701,26.35,26.35,26.23,26.3,142142,UUP
