ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,16874,58.94,59.13,58.81,59.13,560790,VGK
2020-01-03 00:00:00+00:00,35,43,16874,58.99,58.99,58.0,58.35,855411,VGK
2020-01-06 00:00:00+00:00,35,43,16874,58.19,58.6,58.19,58.6,654508,VGK
2020-01-07 00:00:00+00:00,35,43,16874,58.73,58.73,58.19,58.27,753227,VGK
2020-01-08 00:00:00+00:00,35,43,16874,58.0,58.73,58.0,58.73,971161,VGK
2020-01-09 00:00:00+00:00,35,43,16874,58.43,58.5,58.33,58.49,449737,VGK
2020-01-10 00:00:00+00:00,35,43,16874,58.49,58.49,58.13,58.21,639153,VGK
2020-01-13 00:00:00+00:00,35,43,16874,57.91,58.5,57.77,58.25,629027,VGK
2020-01-14 00:00:00+00:00,35,43,16874,58.32,58.59,58.31,58.54,621269,VGK
2020-01-15 00:00:00+00:00,35,43,16874,58.54,58.66,58.49,58.56,373977,VGK
2020-01-16 00:00:00+00:00,35,43,16874,58.64,58.84,58.565,58.84,296587,VGK
2020-01-17 00:00:00+00:00,35,43,16874,59.06,59.07,58.91,59.07,360127,VGK
2020-01-21 00:00:00+00:00,35,43,16874,59.27,59.27,58.4,58.64,467751,VGK
2020-01-22 00:00:00+00:00,35,43,16874,58.82,58.84,58.645,58.7,1706177,VGK
2020-01-23 00:00:00+00:00,35,43,16874,58.37,58.515,58.06,58.46,576570,VGK
2020-01-24 00:00:00+00:00,35,43,16874,59.15,59.15,58.15,58.15,592232,VGK
2020-01-27 00:00:00+00:00,35,43,16874,57.99,57.99,56.22,57.05,797480,VGK
2020-01-28 00:00:00+00:00,35,43,16874,57.0,58.04,57.0,57.55,563496,VGK
2020-01-29 00:00:00+00:00,35,43,16874,57.73,57.875,57.59,57.71,417365,VGK
2020-01-30 00:00:00+00:00,35,43,16874,57.25,57.705,57.18,57.68,1001677,VGK
2020-01-31 00:00:00+00:00,35,43,16874,57.68,57.68,56.51,56.51,988459,VGK
2020-02-03 00:00:00+00:00,35,43,16874,56.77,57.09,56.77,56.81,428179,VGK
2020-02-04 00:00:00+00:00,35,43,16874,57.68,57.82,57.635,57.76,605127,VGK
2020-02-05 00:00:00+00:00,35,43,16874,58.15,58.61,57.77,58.33,1952118,VGK
2020-02-06 00:00:00+00:00,35,43,16874,58.59,58.59,58.32,58.43,447161,VGK
2020-02-07 00:00:00+00:00,35,43,16874,58.45,58.45,57.43,57.87,503046,VGK
2020-02-10 00:00:00+00:00,35,43,16874,57.87,58.17,57.83,58.17,513452,VGK
2020-02-11 00:00:00+00:00,35,43,16874,58.41,58.57,58.38,58.48,1720252,VGK
2020-02-12 00:00:00+00:00,35,43,16874,58.62,58.84,58.62,58.84,325849,VGK
2020-02-13 00:00:00+00:00,35,43,16874,58.46,58.57,58.2,58.45,353122,VGK
2020-02-14 00:00:00+00:00,35,43,16874,58.55,58.56,58.25,58.25,383713,VGK
2020-02-18 00:00:00+00:00,35,43,16874,58.4,58.4,58.12,58.21,404252,VGK
2020-02-19 00:00:00+00:00,35,43,16874,58.45,58.6,58.43,58.6,823614,VGK
2020-02-20 00:00:00+00:00,35,43,16874,58.55,58.56,58.0,58.24,432157,VGK
2020-02-21 00:00:00+00:00,35,43,16874,58.14,58.19,57.92,58.05,1083481,VGK
2020-02-24 00:00:00+00:00,35,43,16874,57.56,57.56,55.12,55.2,1204223,VGK
2020-02-25 00:00:00+00:00,35,43,16874,55.6,55.62,54.26,54.37,1357767,VGK
2020-02-26 00:00:00+00:00,35,43,16874,55.0,55.14,54.19,54.19,1686310,VGK
2020-02-27 00:00:00+00:00,35,43,16874,54.21,54.21,52.63,52.85,3197843,VGK
2020-02-28 00:00:00+00:00,35,43,16874,52.31,52.34,50.96,52.3,3748955,VGK
2020-03-02 00:00:00+00:00,35,43,16874,54.53,54.53,51.83,52.76,3576900,VGK
2020-03-03 00:00:00+00:00,35,43,16874,53.14,54.3,52.34,52.75,2810328,VGK
2020-03-04 00:00:00+00:00,35,43,16874,54.0,54.58,53.31,54.3,2580850,VGK
2020-03-05 00:00:00+00:00,35,43,16874,53.1,53.41,52.49,52.75,2005933,VGK
2020-03-06 00:00:00+00:00,35,43,16874,51.7,52.28,51.15,52.23,1803046,VGK
2020-03-09 00:00:00+00:00,35,43,16874,50.8,50.8,47.0,48.95,3890270,VGK
2020-03-10 00:00:00+00:00,35,43,16874,49.15,49.61,47.42,48.92,3258116,VGK
2020-03-11 00:00:00+00:00,35,43,16874,49.15,49.15,45.91,46.31,3294772,VGK
2020-03-12 00:00:00+00:00,35,43,16874,45.0,45.0,40.0,40.0,2827041,VGK
2020-03-13 00:00:00+00:00,35,43,16874,42.1,44.12,40.78,43.72,1912866,VGK
2020-03-16 00:00:00+00:00,35,43,16874,39.37,40.57,37.18,38.66,2479256,VGK
2020-03-17 00:00:00+00:00,35,43,16874,38.51,40.16,37.8,39.9,2150535,VGK
2020-03-18 00:00:00+00:00,35,43,16874,38.02,38.36,36.36,37.15,3382110,VGK
2020-03-19 00:00:00+00:00,35,43,16874,37.15,38.84,36.11,36.11,2230806,VGK
2020-03-20 00:00:00+00:00,35,43,16874,38.92,39.6,37.41,37.41,1691646,VGK
2020-03-23 00:00:00+00:00,35,43,16874,36.79,38.97,36.3,37.01,2633904,VGK
2020-03-24 00:00:00+00:00,35,43,16874,40.0,40.7,39.34,40.4,3576461,VGK
2020-03-25 00:00:00+00:00,35,43,16874,40.95,42.7,40.36,41.99,1842627,VGK
2020-03-26 00:00:00+00:00,35,43,16874,42.24,44.12,42.2,43.03,2057609,VGK
2020-03-27 00:00:00+00:00,35,43,16874,43.83,43.83,41.72,42.62,1782297,VGK
2020-03-30 00:00:00+00:00,35,43,16874,42.01,43.33,42.01,43.28,1326314,VGK
2020-03-31 00:00:00+00:00,35,43,16874,43.25,43.68,42.735,43.08,1538908,VGK
2020-04-01 00:00:00+00:00,35,43,16874,42.5,42.5,41.34,41.4,1369257,VGK
2020-04-02 00:00:00+00:00,35,43,16874,42.0,42.45,41.37,42.2,1738884,VGK
2020-04-03 00:00:00+00:00,35,43,16874,41.0,42.1,40.97,41.29,1768944,VGK
2020-04-06 00:00:00+00:00,35,43,16874,42.0,43.475,42.0,43.0,2835459,VGK
2020-04-07 00:00:00+00:00,35,43,16874,44.34,44.76,43.5,43.59,1290145,VGK
2020-04-08 00:00:00+00:00,35,43,16874,44.0,44.35,43.57,44.25,1055917,VGK
2020-04-09 00:00:00+00:00,35,43,16874,44.5,45.5,44.5,45.34,1388269,VGK
2020-04-13 00:00:00+00:00,35,43,16874,45.0,45.36,44.2,44.92,2330914,VGK
2020-04-14 00:00:00+00:00,35,43,16874,45.38,45.78,45.3,45.5,1061556,VGK
2020-04-15 00:00:00+00:00,35,43,16874,43.9,44.025,43.53,43.64,1519593,VGK
2020-04-16 00:00:00+00:00,35,43,16874,44.0,44.65,43.315,43.79,1428586,VGK
2020-04-17 00:00:00+00:00,35,43,16874,45.05,45.32,44.68,45.25,1594960,VGK
2020-04-20 00:00:00+00:00,35,43,16874,45.25,45.35,44.6,44.6,1283966,VGK
2020-04-21 00:00:00+00:00,35,43,16874,43.64,44.32,43.42,43.42,1197272,VGK
2020-04-22 00:00:00+00:00,35,43,16874,44.4,44.44,44.16,44.36,958932,VGK
2020-04-23 00:00:00+00:00,35,43,16874,44.37,45.09,43.975,44.12,1251996,VGK
2020-04-24 00:00:00+00:00,35,43,16874,44.51,44.76,44.14,44.74,820008,VGK
2020-04-27 00:00:00+00:00,35,43,16874,46.26,46.26,44.875,45.33,1028919,VGK
2020-04-28 00:00:00+00:00,35,43,16874,45.64,46.25,45.55,45.55,1213081,VGK
2020-04-29 00:00:00+00:00,35,43,16874,46.5,47.07,46.5,46.93,1212356,VGK
2020-04-30 00:00:00+00:00,35,43,16874,46.93,46.93,45.825,46.07,1319442,VGK
2020-05-01 00:00:00+00:00,35,43,16874,44.7,45.88,44.7,45.0,1224101,VGK
2020-05-04 00:00:00+00:00,35,43,16874,45.11,45.11,44.3,45.09,1018056,VGK
2020-05-05 00:00:00+00:00,35,43,16874,45.5,45.5,44.72,44.93,1453945,VGK
2020-05-06 00:00:00+00:00,35,43,16874,45.26,45.33,44.64,44.64,1105862,VGK
2020-05-07 00:00:00+00:00,35,43,16874,45.3,45.635,45.16,45.42,1109650,VGK
2020-05-08 00:00:00+00:00,35,43,16874,45.5,46.2,45.5,46.19,1079903,VGK
2020-05-11 00:00:00+00:00,35,43,16874,45.6,46.05,45.58,45.94,592202,VGK
2020-05-12 00:00:00+00:00,35,43,16874,46.14,46.2,45.0,45.0,1071380,VGK
2020-05-13 00:00:00+00:00,35,43,16874,45.48,45.51,44.54,44.79,1665533,VGK
2020-05-14 00:00:00+00:00,35,43,16874,44.5,44.5,43.39,44.41,1366032,VGK
2020-05-15 00:00:00+00:00,35,43,16874,44.28,44.605,44.105,44.45,786547,VGK
2020-05-18 00:00:00+00:00,35,43,16874,44.5,46.62,44.5,46.47,1245606,VGK
2020-05-19 00:00:00+00:00,35,43,16874,46.18,46.38,45.79,45.81,1119218,VGK
2020-05-20 00:00:00+00:00,35,43,16874,46.69,47.05,46.58,46.86,1043300,VGK
2020-05-21 00:00:00+00:00,35,43,16874,46.86,47.01,46.31,46.49,1087169,VGK
2020-05-22 00:00:00+00:00,35,43,16874,46.21,46.5,46.02,46.5,723518,VGK
2020-05-26 00:00:00+00:00,35,43,16874,46.38,47.915,46.38,47.63,937637,VGK
2020-05-27 00:00:00+00:00,35,43,16874,48.18,48.27,47.66,48.21,865911,VGK
2020-05-28 00:00:00+00:00,35,43,16874,48.78,49.255,48.67,48.71,962782,VGK
2020-05-29 00:00:00+00:00,35,43,16874,48.01,48.9,48.01,48.87,1686375,VGK
2020-06-01 00:00:00+00:00,35,43,16874,49.14,49.86,49.07,49.85,1179312,VGK
2020-06-02 00:00:00+00:00,35,43,16874,50.0,50.97,50.0,50.61,1451872,VGK
2020-06-03 00:00:00+00:00,35,43,16874,51.0,52.29,51.0,51.81,2487068,VGK
2020-06-04 00:00:00+00:00,35,43,16874,51.7,52.04,51.45,51.8,1074197,VGK
2020-06-05 00:00:00+00:00,35,43,16874,52.4,53.5,52.4,52.68,1811909,VGK
2020-06-08 00:00:00+00:00,35,43,16874,52.74,53.68,52.67,53.68,1325436,VGK
2020-06-09 00:00:00+00:00,35,43,16874,52.9,53.27,52.07,52.41,1093104,VGK
2020-06-10 00:00:00+00:00,35,43,16874,52.63,52.76,52.0,52.0,907986,VGK
2020-06-11 00:00:00+00:00,35,43,16874,51.8,51.8,49.035,49.13,2166716,VGK
2020-06-12 00:00:00+00:00,35,43,16874,52.24,52.24,49.26,50.03,1289417,VGK
2020-06-15 00:00:00+00:00,35,43,16874,49.0,50.66,45.91,50.53,1175455,VGK
2020-06-16 00:00:00+00:00,35,43,16874,51.0,52.0,50.48,51.09,1762532,VGK
2020-06-17 00:00:00+00:00,35,43,16874,51.51,51.55,51.085,51.25,744134,VGK
2020-06-18 00:00:00+00:00,35,43,16874,51.0,51.1,50.24,50.24,736582,VGK
2020-06-19 00:00:00+00:00,35,43,16874,51.54,51.6,50.45,50.45,729650,VGK
