ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,17676,60.04,60.68,60.04,60.68,2759028,XLE
2020-01-03 00:00:00+00:00,35,43,17676,61.1,61.4,60.11,60.57,15587909,XLE
2020-01-06 00:00:00+00:00,35,43,17676,60.58,61.18,60.4,60.93,3737367,XLE
2020-01-07 00:00:00+00:00,35,43,17676,60.9,61.25,60.01,61.2,2641371,XLE
2020-01-08 00:00:00+00:00,35,43,17676,60.75,61.0,59.63,59.73,4629471,XLE
2020-01-09 00:00:00+00:00,35,43,17676,59.65,60.2,58.98,60.09,3155789,XLE
2020-01-10 00:00:00+00:00,35,43,17676,60.01,60.16,59.71,59.71,2282131,XLE
2020-01-13 00:00:00+00:00,35,43,17676,59.91,60.01,59.42,59.81,1980459,XLE
2020-01-14 00:00:00+00:00,35,43,17676,59.83,60.0,59.315,59.84,2531767,XLE
2020-01-15 00:00:00+00:00,35,43,17676,59.84,59.89,59.225,59.45,2997336,XLE
2020-01-16 00:00:00+00:00,35,43,17676,59.4,59.945,59.4,59.5,2312031,XLE
2020-01-17 00:00:00+00:00,35,43,17676,59.68,59.84,59.02,59.12,3998633,XLE
2020-01-21 00:00:00+00:00,35,43,17676,59.08,59.08,57.94,58.06,4042947,XLE
2020-01-22 00:00:00+00:00,35,43,17676,58.07,58.1,57.34,57.41,2888531,XLE
2020-01-23 00:00:00+00:00,35,43,17676,57.22,57.45,56.46,57.28,3321425,XLE
2020-01-24 00:00:00+00:00,35,43,17676,57.39,57.39,56.19,56.52,4898913,XLE
2020-01-27 00:00:00+00:00,35,43,17676,56.21,56.21,54.96,55.17,5887747,XLE
2020-01-28 00:00:00+00:00,35,43,17676,55.2,55.85,55.08,55.48,3366650,XLE
2020-01-29 00:00:00+00:00,35,43,17676,55.46,55.805,54.61,54.8,4103869,XLE
2020-01-30 00:00:00+00:00,35,43,17676,54.2,55.27,53.96,55.16,5938744,XLE
2020-01-31 00:00:00+00:00,35,43,17676,55.15,55.15,53.16,53.45,9039952,XLE
2020-02-03 00:00:00+00:00,35,43,17676,53.39,53.6,52.56,52.71,6200090,XLE
2020-02-04 00:00:00+00:00,35,43,17676,53.3,53.92,52.83,52.88,4678224,XLE
2020-02-05 00:00:00+00:00,35,43,17676,53.4,55.15,53.39,55.13,12825593,XLE
2020-02-06 00:00:00+00:00,35,43,17676,55.6,55.6,54.27,54.49,3710957,XLE
2020-02-07 00:00:00+00:00,35,43,17676,54.38,54.38,53.71,53.93,2721307,XLE
2020-02-10 00:00:00+00:00,35,43,17676,53.85,53.98,53.385,53.78,3568080,XLE
2020-02-11 00:00:00+00:00,35,43,17676,53.94,54.55,53.94,54.48,3545253,XLE
2020-02-12 00:00:00+00:00,35,43,17676,54.66,55.35,54.6,54.98,3926176,XLE
2020-02-13 00:00:00+00:00,35,43,17676,54.65,55.19,54.5,54.88,2741280,XLE
2020-02-14 00:00:00+00:00,35,43,17676,55.0,55.17,54.245,54.6,2774225,XLE
2020-02-18 00:00:00+00:00,35,43,17676,54.58,54.58,53.63,54.19,7561370,XLE
