ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,17684,63.2,63.22,62.315,62.57,5463132,XLP
2020-01-03 00:00:00+00:00,35,43,17684,62.28,62.65,61.95,62.33,12404144,XLP
2020-01-06 00:00:00+00:00,35,43,17684,62.12,62.65,62.12,62.32,6091021,XLP
2020-01-07 00:00:00+00:00,35,43,17684,62.31,62.37,61.82,61.82,5845529,XLP
2020-01-08 00:00:00+00:00,35,43,17684,62.03,62.515,61.965,62.26,2489946,XLP
2020-01-09 00:00:00+00:00,35,43,17684,62.38,62.82,62.31,62.71,1591170,XLP
2020-01-10 00:00:00+00:00,35,43,17684,62.78,62.845,62.59,62.66,1618341,XLP
2020-01-13 00:00:00+00:00,35,43,17684,62.65,63.19,62.65,63.19,1682736,XLP
2020-01-14 00:00:00+00:00,35,43,17684,62.99,63.11,62.92,63.07,1706334,XLP
2020-01-15 00:00:00+00:00,35,43,17684,63.09,63.67,63.01,63.5,2855328,XLP
2020-01-16 00:00:00+00:00,35,43,17684,63.7,63.82,63.55,63.82,4205555,XLP
2020-01-17 00:00:00+00:00,35,43,17684,63.7,63.96,63.63,63.9,5175578,XLP
2020-01-21 00:00:00+00:00,35,43,17684,63.82,64.07,63.52,63.91,5432860,XLP
2020-01-22 00:00:00+00:00,35,43,17684,64.04,64.24,64.04,64.09,1799482,XLP
2020-01-23 00:00:00+00:00,35,43,17684,64.09,64.19,63.64,63.88,2843266,XLP
2020-01-24 00:00:00+00:00,35,43,17684,64.05,64.16,63.39,63.71,2621636,XLP
2020-01-27 00:00:00+00:00,35,43,17684,63.36,63.7,63.02,63.26,2503456,XLP
2020-01-28 00:00:00+00:00,35,43,17684,63.21,63.65,63.21,63.34,1992614,XLP
2020-01-29 00:00:00+00:00,35,43,17684,63.47,63.6,63.02,63.02,2277975,XLP
2020-01-30 00:00:00+00:00,35,43,17684,63.22,63.99,63.0,63.99,5955945,XLP
2020-01-31 00:00:00+00:00,35,43,17684,63.75,64.2,63.01,63.2,3872829,XLP
2020-02-03 00:00:00+00:00,35,43,17684,63.24,63.645,63.06,63.06,10302537,XLP
2020-02-04 00:00:00+00:00,35,43,17684,63.6,63.98,63.4,63.4,6463887,XLP
2020-02-05 00:00:00+00:00,35,43,17684,63.77,64.09,63.69,64.07,5173312,XLP
2020-02-06 00:00:00+00:00,35,43,17684,64.19,64.52,64.01,64.09,2145908,XLP
2020-02-07 00:00:00+00:00,35,43,17684,64.57,64.57,64.0,64.3,2629573,XLP
2020-02-10 00:00:00+00:00,35,43,17684,64.31,64.645,64.27,64.64,1699042,XLP
2020-02-11 00:00:00+00:00,35,43,17684,64.71,64.71,64.23,64.23,2147669,XLP
2020-02-12 00:00:00+00:00,35,43,17684,64.4,64.4,64.13,64.17,2190146,XLP
2020-02-13 00:00:00+00:00,35,43,17684,64.17,64.745,64.03,64.61,1995224,XLP
2020-02-14 00:00:00+00:00,35,43,17684,64.65,64.92,64.59,64.85,1501145,XLP
2020-02-18 00:00:00+00:00,35,43,17684,64.65,64.83,64.43,64.61,2790591,XLP
2020-02-19 00:00:00+00:00,35,43,17684,64.57,64.74,64.35,64.49,1473476,XLP
2020-02-20 00:00:00+00:00,35,43,17684,64.35,64.59,63.94,64.58,3068472,XLP
2020-02-21 00:00:00+00:00,35,43,17684,64.36,64.785,64.34,64.57,2412770,XLP
2020-02-24 00:00:00+00:00,35,43,17684,64.3,64.3,63.0,63.04,5236589,XLP
2020-02-25 00:00:00+00:00,35,43,17684,62.5,63.5,61.81,61.95,7137058,XLP
2020-02-26 00:00:00+00:00,35,43,17684,61.92,62.77,61.48,61.48,6721340,XLP
2020-02-27 00:00:00+00:00,35,43,17684,61.44,61.67,58.51,58.51,12204295,XLP
2020-02-28 00:00:00+00:00,35,43,17684,58.29,58.99,56.04,58.45,13320110,XLP
2020-03-02 00:00:00+00:00,35,43,17684,58.14,61.27,57.5,61.03,7252222,XLP
2020-03-03 00:00:00+00:00,35,43,17684,61.1,62.2,59.72,60.27,12147836,XLP
2020-03-04 00:00:00+00:00,35,43,17684,60.95,63.29,60.94,63.1,5670101,XLP
2020-03-05 00:00:00+00:00,35,43,17684,62.38,62.855,61.4,61.9,4446571,XLP
2020-03-06 00:00:00+00:00,35,43,17684,61.1,61.88,59.95,61.37,6458112,XLP
2020-03-09 00:00:00+00:00,35,43,17684,59.75,60.49,57.23,58.68,4999505,XLP
2020-03-10 00:00:00+00:00,35,43,17684,61.0,61.0,57.89,60.64,7548104,XLP
2020-03-11 00:00:00+00:00,35,43,17684,59.44,59.75,56.87,57.55,5037743,XLP
2020-03-12 00:00:00+00:00,35,43,17684,55.81,56.68,51.89,52.01,5946106,XLP
2020-03-13 00:00:00+00:00,35,43,17684,54.62,56.67,52.77,56.5,7063099,XLP
2020-03-16 00:00:00+00:00,35,43,17684,53.53,55.565,50.79,53.8,5501869,XLP
2020-03-17 00:00:00+00:00,35,43,17684,53.5,57.44,52.91,56.5,7492830,XLP
2020-03-18 00:00:00+00:00,35,43,17684,53.8,56.99,53.21,55.75,8605190,XLP
2020-03-19 00:00:00+00:00,35,43,17684,55.22,55.44,52.99,52.99,4322997,XLP
2020-03-20 00:00:00+00:00,35,43,17684,54.2,54.23,49.9,49.9,5230044,XLP
2020-03-23 00:00:00+00:00,35,43,17684,48.9,51.2,47.66,48.63,7125453,XLP
2020-03-24 00:00:00+00:00,35,43,17684,50.61,51.4,49.8,51.25,4375565,XLP
2020-03-25 00:00:00+00:00,35,43,17684,50.5,52.61,50.08,50.98,3645825,XLP
2020-03-26 00:00:00+00:00,35,43,17684,50.97,54.11,50.45,53.7,4565826,XLP
2020-03-27 00:00:00+00:00,35,43,17684,52.7,54.99,52.34,53.53,3572193,XLP
2020-03-30 00:00:00+00:00,35,43,17684,53.25,55.96,53.25,55.96,3099113,XLP
2020-03-31 00:00:00+00:00,35,43,17684,55.6,55.665,54.02,54.02,4607197,XLP
2020-04-01 00:00:00+00:00,35,43,17684,54.15,54.38,52.71,53.25,2255123,XLP
2020-04-02 00:00:00+00:00,35,43,17684,54.09,55.22,52.72,54.88,5840565,XLP
2020-04-03 00:00:00+00:00,35,43,17684,55.0,55.51,54.47,55.25,8981270,XLP
2020-04-06 00:00:00+00:00,35,43,17684,56.0,57.8,55.93,57.07,3028874,XLP
2020-04-07 00:00:00+00:00,35,43,17684,58.05,58.75,56.42,56.71,5766135,XLP
2020-04-08 00:00:00+00:00,35,43,17684,56.9,57.9,56.53,57.65,2497135,XLP
2020-04-09 00:00:00+00:00,35,43,17684,57.26,59.01,57.18,58.69,2897682,XLP
2020-04-13 00:00:00+00:00,35,43,17684,58.2,58.25,57.14,58.15,1831953,XLP
2020-04-14 00:00:00+00:00,35,43,17684,58.41,60.65,58.41,60.2,5822421,XLP
2020-04-15 00:00:00+00:00,35,43,17684,60.15,60.15,58.77,59.03,2944151,XLP
2020-04-16 00:00:00+00:00,35,43,17684,59.4,61.39,58.75,60.31,2500507,XLP
2020-04-17 00:00:00+00:00,35,43,17684,60.26,60.7,59.52,60.45,2270187,XLP
2020-04-20 00:00:00+00:00,35,43,17684,60.45,60.45,59.27,59.57,1712892,XLP
2020-04-21 00:00:00+00:00,35,43,17684,59.0,59.56,57.84,58.47,2204559,XLP
2020-04-22 00:00:00+00:00,35,43,17684,58.55,58.94,58.15,58.5,3108824,XLP
2020-04-23 00:00:00+00:00,35,43,17684,58.75,58.84,57.99,58.0,5181736,XLP
