ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,17685,38.79,38.81,38.08,38.22,1266818,XLRE
2020-01-03 00:00:00+00:00,35,43,17685,38.21,38.58,37.99,38.56,1053720,XLRE
2020-01-06 00:00:00+00:00,35,43,17685,38.43,38.65,38.35,38.51,1115301,XLRE
2020-01-07 00:00:00+00:00,35,43,17685,38.4,38.4,37.89,38.09,1115591,XLRE
2020-01-08 00:00:00+00:00,35,43,17685,38.0,38.34,37.99,38.29,1735517,XLRE
2020-01-09 00:00:00+00:00,35,43,17685,38.23,38.35,38.16,38.27,924833,XLRE
2020-01-10 00:00:00+00:00,35,43,17685,38.35,38.651,38.27,38.57,740273,XLRE
2020-01-13 00:00:00+00:00,35,43,17685,38.65,39.11,38.65,39.11,1058934,XLRE
2020-01-14 00:00:00+00:00,35,43,17685,39.08,39.08,38.71,38.86,1112914,XLRE
2020-01-15 00:00:00+00:00,35,43,17685,39.02,39.305,39.02,39.19,1599781,XLRE
2020-01-16 00:00:00+00:00,35,43,17685,39.3,39.57,39.18,39.57,1238887,XLRE
2020-01-17 00:00:00+00:00,35,43,17685,39.51,39.72,39.47,39.59,1039567,XLRE
2020-01-21 00:00:00+00:00,35,43,17685,39.59,40.02,39.53,39.99,777121,XLRE
2020-01-22 00:00:00+00:00,35,43,17685,40.01,40.21,39.609,39.67,919456,XLRE
2020-01-23 00:00:00+00:00,35,43,17685,39.72,40.07,39.59,40.05,734201,XLRE
2020-01-24 00:00:00+00:00,35,43,17685,40.13,40.2,39.75,39.75,828494,XLRE
2020-01-27 00:00:00+00:00,35,43,17685,39.75,39.96,39.71,39.82,1893789,XLRE
2020-01-28 00:00:00+00:00,35,43,17685,39.84,40.089,39.77,39.92,866975,XLRE
2020-01-29 00:00:00+00:00,35,43,17685,39.92,40.09,39.68,39.71,1238373,XLRE
2020-01-30 00:00:00+00:00,35,43,17685,39.4,39.835,39.4,39.72,1006995,XLRE
2020-01-31 00:00:00+00:00,35,43,17685,39.7,39.75,39.14,39.19,1821251,XLRE
2020-02-03 00:00:00+00:00,35,43,17685,39.39,39.63,39.24,39.51,1630144,XLRE
2020-02-04 00:00:00+00:00,35,43,17685,39.36,39.92,39.34,39.78,1235289,XLRE
2020-02-05 00:00:00+00:00,35,43,17685,39.82,39.91,39.65,39.7,994100,XLRE
2020-02-06 00:00:00+00:00,35,43,17685,39.88,40.01,39.81,39.92,917594,XLRE
2020-02-07 00:00:00+00:00,35,43,17685,41.0,41.0,39.83,39.96,632263,XLRE
2020-02-10 00:00:00+00:00,35,43,17685,40.2,40.41,40.04,40.4,833506,XLRE
2020-02-11 00:00:00+00:00,35,43,17685,40.62,41.17,40.54,40.89,1942779,XLRE
2020-02-12 00:00:00+00:00,35,43,17685,40.94,41.3,40.79,41.3,891101,XLRE
2020-02-13 00:00:00+00:00,35,43,17685,41.09,41.5,41.09,41.44,1225219,XLRE
2020-02-14 00:00:00+00:00,35,43,17685,41.51,41.9,41.44,41.9,735803,XLRE
2020-02-18 00:00:00+00:00,35,43,17685,40.53,42.45,40.53,41.84,963591,XLRE
2020-02-19 00:00:00+00:00,35,43,17685,41.8,41.85,41.23,41.31,900214,XLRE
2020-02-20 00:00:00+00:00,35,43,17685,41.25,41.84,41.16,41.84,1352713,XLRE
2020-02-21 00:00:00+00:00,35,43,17685,41.71,41.99,41.66,41.93,892291,XLRE
2020-02-24 00:00:00+00:00,35,43,17685,41.79,41.81,41.19,41.28,1178714,XLRE
2020-02-25 00:00:00+00:00,35,43,17685,41.48,41.62,40.18,40.33,2477923,XLRE
2020-02-26 00:00:00+00:00,35,43,17685,40.15,40.69,39.78,39.78,2506859,XLRE
2020-02-27 00:00:00+00:00,35,43,17685,39.79,39.79,37.5,37.5,4130342,XLRE
2020-02-28 00:00:00+00:00,35,43,17685,36.15,37.57,35.7,37.57,14173467,XLRE
2020-03-02 00:00:00+00:00,35,43,17685,36.79,38.62,36.79,38.62,6582724,XLRE
2020-03-03 00:00:00+00:00,35,43,17685,38.7,39.55,38.23,38.59,10265591,XLRE
2020-03-04 00:00:00+00:00,35,43,17685,39.07,40.14,39.07,40.09,3452304,XLRE
2020-03-05 00:00:00+00:00,35,43,17685,39.4,39.75,38.73,39.22,3771730,XLRE
2020-03-06 00:00:00+00:00,35,43,17685,39.17,39.17,37.25,38.51,4208170,XLRE
2020-03-09 00:00:00+00:00,35,43,17685,37.0,37.66,35.34,36.2,2638155,XLRE
2020-03-10 00:00:00+00:00,35,43,17685,36.78,37.58,35.4,37.52,5204036,XLRE
2020-03-11 00:00:00+00:00,35,43,17685,36.61,36.66,35.15,35.51,3773891,XLRE
2020-03-12 00:00:00+00:00,35,43,17685,33.26,34.57,28.0,32.44,1998888,XLRE
2020-03-13 00:00:00+00:00,35,43,17685,34.72,35.36,32.53,35.31,2310354,XLRE
2020-03-16 00:00:00+00:00,35,43,17685,34.42,34.42,29.435,29.57,1532200,XLRE
2020-03-17 00:00:00+00:00,35,43,17685,30.22,32.29,29.44,30.5,2038154,XLRE
2020-03-18 00:00:00+00:00,35,43,17685,30.73,30.85,28.3,28.3,2625380,XLRE
2020-03-19 00:00:00+00:00,35,43,17685,28.82,29.53,28.0,28.79,2977135,XLRE
2020-03-20 00:00:00+00:00,35,43,17685,29.0,29.59,26.97,27.16,3339556,XLRE
2020-03-23 00:00:00+00:00,35,43,17685,26.0,26.92,24.88,25.45,4941659,XLRE
2020-03-24 00:00:00+00:00,35,43,17685,26.62,28.12,26.22,28.12,3099730,XLRE
