symbol,category,rows,start,end
SPY,us_equity_broad,1630,2020-01-02,2026-06-29
QQQ,us_equity_broad,1626,2020-01-02,2026-06-29
IWM,us_equity_broad,1630,2020-01-02,2026-06-29
DIA,us_equity_broad,1630,2020-01-02,2026-06-29
MDY,us_equity_broad,1630,2020-01-02,2026-06-29
XLK,us_sectors,1630,2020-01-02,2026-06-29
XLF,us_sectors,1630,2020-01-02,2026-06-29
XLE,us_sectors,1630,2020-01-02,2026-06-29
XLV,us_sectors,1630,2020-01-02,2026-06-29
XLI,us_sectors,1630,2020-01-02,2026-06-29
XLY,us_sectors,1630,2020-01-02,2026-06-29
XLP,us_sectors,1630,2020-01-02,2026-06-29
XLU,us_sectors,1630,2020-01-02,2026-06-29
XLB,us_sectors,1630,2020-01-02,2026-06-29
XLRE,us_sectors,1630,2020-01-02,2026-06-29
XLC,us_sectors,1630,2020-01-02,2026-06-29
EFA,international_equity,1630,2020-01-02,2026-06-29
EEM,international_equity,1630,2020-01-02,2026-06-29
VGK,international_equity,1630,2020-01-02,2026-06-29
EWJ,international_equity,1630,2020-01-02,2026-06-29
FXI,international_equity,1630,2020-01-02,2026-06-29
TLT,fixed_income,1623,2020-01-02,2026-06-29
IEF,fixed_income,1622,2020-01-02,2026-06-29
SHY,fixed_income,1625,2020-01-02,2026-06-29
AGG,fixed_income,1630,2020-01-02,2026-06-29
LQD,fixed_income,1630,2020-01-02,2026-06-29
HYG,fixed_income,1630,2020-01-02,2026-06-29
TIP,fixed_income,1630,2020-01-02,2026-06-29
GLD,commodities,1630,2020-01-02,2026-06-29
SLV,commodities,1630,2020-01-02,2026-06-29
DBC,commodities,1630,2020-01-02,2026-06-29
USO,commodities,1630,2020-01-02,2026-06-29
UNG,commodities,1630,2020-01-02,2026-06-29
DBA,commodities,1630,2020-01-02,2026-06-29
VNQ,alternatives,1630,2020-01-02,2026-06-29
GDX,alternatives,1630,2020-01-02,2026-06-29
UUP,alternatives,1630,2020-01-02,2026-06-29
